sub_boro_names,boro_names,median_rent,born_in_new_york_state,car_free_commute,disabled_population,foreign_born_population,housing_units,mean_travel_time_to_work,median_income,population,population_density,poverty_rate,rental_vacancy_rate,severe_crowding_rate,unemployment,labor_force_rate,households_with_under_18years_old,single_person_households,income_diversity_ratio,25+_with_bachelors,25+_no_high_school_diploma,subway,park,crime,new_residential_permits,new_certificates_of_occupancy,public_housing,subsidized_properties,building_age,racial_diversity_index,asian,black,hispanic,white,other_races
Astoria,Queens,2125.1,0.42,0.78,0.07,0.43,80598.09,37.04,50605.87,179156.62,33.83,0.17,0.03,0.03,0.08,0.68,0.22,0.34,4.92,0.37,0.19,0.73,0.63,2.974474199,408.87,387.21,7584,57,83.25293321,0.66,0.136169336,0.066390302,0.282857916,0.479226169,0.035356278
Bay Ridge,Brooklyn,1678.72,0.54,0.65,0.06,0.37,52526.36,42.21,50795.57,126056.96,32.86,0.15,0.03,0.04,0.08,0.62,0.28,0.32,5.17,0.36,0.19,0.74,0.6,1.856024092,33.12,52.11,0,9,94.10387745,0.55,0.204361968,0.01156517,0.144371322,0.612591669,0.027109871
Bayside/Little Neck,Queens,1962.32,0.54,0.34,0.05,0.4,46390.44,40.51,61084.74,119210.99,12.87,0.07,0.04,0.01,0.06,0.63,0.3,0.26,4.25,0.42,0.11,0.21,0.69,1.088525382,105.46,86.77,0,0,72.4176018,0.61,0.362974324,0.017587194,0.109906069,0.477048603,0.03248381
Bedford Stuyvesant,Brooklyn,2288.53,0.62,0.79,0.1,0.2,55195.52,41.35,30129.29,135627.07,60.33,0.32,0.06,0.03,0.13,0.61,0.36,0.32,6.77,0.22,0.24,0.88,0.94,7.772003791,412.36,434.87,9988,626,102.0348718,0.55,0.022871975,0.603755261,0.187170886,0.136842406,0.049359471
Bensonhurst,Brooklyn,1496.61,0.42,0.69,0.06,0.53,66917.95,44.93,39280.36,180090.7,49.38,0.17,0.03,0.04,0.08,0.58,0.32,0.25,5.19,0.24,0.28,0.87,0.46,1.511146768,100.06,117.7,0,8,86.8884588,0.6,0.336735768,0.006405482,0.128092832,0.503084318,0.025681599
Borough Park,Brooklyn,1761.92,0.61,0.68,0.07,0.33,49676.19,36.43,34362.78,162644.48,51.21,0.3,0.03,0.08,0.07,0.57,0.42,0.21,5.33,0.25,0.24,0.91,0.4,1.602289048,137.34,145.82,0,31,82.76678993,0.45,0.130288929,0.022956117,0.110169516,0.716429706,0.020155733
Brooklyn Heights/Fort Greene,Brooklyn,2842.83,0.49,0.86,0.07,0.19,59454.56,34.72,60055.75,123718.77,41,0.19,0.04,0.03,0.08,0.68,0.23,0.4,6.9,0.56,0.12,0.94,0.97,6.828606418,347.53,518.66,3882,116,97.34422295,0.69,0.071389372,0.290810789,0.169530517,0.419482997,0.048786324
Brownsville/Ocean Hill,Brooklyn,1613.96,0.59,0.76,0.11,0.29,46751.29,47.25,22856.05,119590.58,46.24,0.37,0.05,0.02,0.14,0.55,0.43,0.3,6.65,0.11,0.28,0.89,0.89,10.743859,122.48,154.96,8725,447,69.92508513,0.4,0.008186012,0.74502027,0.216476263,0.010942095,0.01937536
Bushwick,Brooklyn,2162.3,0.45,0.83,0.08,0.36,47328.45,40.78,35378.07,131973.91,53.48,0.31,0.05,0.05,0.11,0.63,0.39,0.24,6,0.16,0.39,0.98,0.77,6.943897542,266.11,255,1427,301,86.70254545,0.52,0.039549038,0.192384445,0.648319788,0.087656056,0.032090673
Central Harlem,Manhattan,2045.31,0.56,0.86,0.11,0.21,59673.86,35.87,33875.76,128089.03,92.96,0.29,0.05,0.02,0.13,0.62,0.29,0.43,7.25,0.3,0.21,1,0.97,7.777192088,223.24,271.56,7766,1080,99.15769231,0.54,0.024883877,0.620077183,0.210542374,0.093535199,0.050961367
Chelsea/Clinton/Midtown,Manhattan,3545.57,0.36,0.89,0.05,0.26,97394.84,25.6,82393.55,140271.24,47.01,0.13,0.04,0.02,,0.76,0.09,0.59,7.32,0.7,0.06,0.97,0.71,4.959077921,625.53,745.24,2353,66.14,92.95986035,0.56,0.135237592,0.055244093,0.144715334,0.631512466,0.033290515
Coney Island,Brooklyn,1593.55,0.41,0.68,0.1,0.52,48713.05,44.98,25131.41,108799.84,31.78,0.25,0.03,0.03,,0.5,0.24,0.36,7,0.32,0.19,0.73,0.85,3.567387177,136.51,134.28,6367,72,60.03755493,0.6,0.123578618,0.11538614,0.147107413,0.591821492,0.022106336
East Flatbush,Brooklyn,1538.3,0.41,0.71,0.06,0.53,52923.78,46.1,40410.62,141527.3,45.93,0.16,0.04,0.04,,0.64,0.37,0.27,4.21,0.2,0.16,0.58,0.38,5.378352614,76.44,53.46,143,35,87.26168483,0.21,0.010385542,0.886575905,0.064695216,0.01509942,0.023243916
East Harlem,Manhattan,2083.46,0.54,0.89,0.12,0.24,49317.05,34.02,30186.16,121457.12,53.31,0.32,0.03,0.04,0.12,0.55,0.31,0.39,6.81,0.26,0.29,0.98,1,8.430753812,314.46,339.44,16499,502,94.51569038,0.65,0.058640257,0.308537259,0.480888368,0.123442173,0.028491943
East New York/Starrett City,Brooklyn,1667.69,0.54,0.71,0.09,0.35,57308.14,46.35,29494.33,154894.32,26.08,0.3,0.06,0.04,0.1,0.55,0.43,0.27,5.73,0.13,0.24,0.71,0.85,8.846632215,279.62,378.81,8080,356,44.56054039,0.6,0.041970955,0.503694205,0.378384002,0.047053679,0.028897159
Elmhurst/Corona,Queens,1565.17,0.31,0.77,0.06,0.65,47168.16,42.35,43560.14,141578.89,39.44,0.2,0.02,0.1,0.06,0.64,0.39,0.21,4.12,0.21,0.31,0.72,0.68,3.383695606,181.45,202.67,0,7,73.54053668,0.63,0.325614175,0.067959934,0.502599767,0.080254801,0.023571324
Flatbush,Brooklyn,1676.71,0.47,0.72,0.07,0.45,60307.91,41.95,40203.5,163018.78,55.84,0.21,0.03,0.07,0.08,0.62,0.35,0.3,5.62,0.32,0.18,0.95,0.3,2.794652193,71.25,57.41,0,28,96.08505304,0.69,0.087637186,0.340171119,0.145077848,0.400219743,0.026894105
Flatlands/Canarsie,Brooklyn,1643.11,0.54,0.52,0.06,0.4,70751.13,45.41,45714.86,204232.92,16.37,0.11,0.03,0.05,0.08,0.64,0.39,0.22,4.12,0.28,0.13,0.13,0.73,2.733242742,49.02,70.66,4418,13,71.43713128,0.55,0.034168491,0.607278717,0.074964982,0.261708259,0.021879551
Flushing/Whitestone,Queens,1756.59,0.4,0.48,0.05,0.55,95063.58,40.52,43486.88,249173.16,21.46,0.14,0.03,0.05,0.07,,0.29,0.25,4.89,0.3,0.2,0.32,0.71,1.937255467,495.03,464.77,930,24,67.43405542,0.64,0.466797867,0.021825603,0.170212123,0.308029766,0.03313464
Greenwich Village/Financial District,Manhattan,3636.47,0.37,0.87,0.03,0.24,87443.27,24.71,107335.1,145533.46,51.86,0.09,0.05,0.03,0.04,,0.14,0.52,6.03,0.78,0.05,1,0.99,4.289519744,197.64,176.9,0,24.82,106.5765143,0.44,0.155130611,0.022873248,0.061813541,0.726639416,0.033543184
